CustomerID,PurchaseCount,TotalRevenue,LifespanDays,AvgOrderValue,PurchaseFrequency,LifespanMonths,CLV
12346.0,1,77183.6,0,77183.6,inf,0.0,0.0
12347.0,7,4310.0,365,615.7142857142857,0.5753424657534247,12.166666666666666,4310.0
12348.0,4,1797.24,282,449.31,0.425531914893617,9.4,1797.2400000000002
12349.0,1,1757.55,0,1757.55,inf,0.0,0.0
12350.0,1,334.4,0,334.4,inf,0.0,0.0
12352.0,8,2506.04,260,313.255,0.9230769230769231,8.666666666666666,2506.04
12353.0,1,89.0,0,89.0,inf,0.0,0.0
12354.0,1,1079.4,0,1079.4,inf,0.0,0.0
12355.0,1,459.4,0,459.4,inf,0.0,0.0
12356.0,3,2811.43,302,937.1433333333333,0.2980132450331126,10.066666666666666,2811.4300000000003
12357.0,1,6207.67,0,6207.67,inf,0.0,0.0
12358.0,2,1168.06,149,584.03,0.40268456375838924,4.966666666666667,1168.06
12359.0,4,6310.03,274,1577.5075,0.43795620437956206,9.133333333333333,6310.03
12360.0,3,2662.06,148,887.3533333333334,0.6081081081081081,4.933333333333334,2662.0600000000004
12361.0,1,189.9,0,189.9,inf,0.0,0.0
12362.0,10,5226.2300000000005,292,522.623,1.0273972602739727,9.733333333333333,5226.2300000000005
12363.0,2,552.0,132,276.0,0.45454545454545453,4.4,552.0
12364.0,4,1313.1,104,328.275,1.1538461538461537,3.466666666666667,1313.0999999999997
12365.0,2,641.38,0,320.69,inf,0.0,0.0
12367.0,1,168.9,0,168.9,inf,0.0,0.0
12370.0,4,3541.94,309,885.485,0.3883495145631068,10.3,3541.94
12371.0,2,1887.96,14,943.98,4.285714285714286,0.4666666666666667,1887.96
12372.0,3,1298.04,224,432.68,0.4017857142857143,7.466666666666667,1298.0400000000002
12373.0,1,364.6,0,364.6,inf,0.0,0.0
12374.0,1,742.9300000000001,0,742.9300000000001,inf,0.0,0.0
12375.0,2,457.5,87,228.75,0.6896551724137931,2.9,457.5
12377.0,2,1628.1200000000001,39,814.0600000000001,1.5384615384615383,1.3,1628.1200000000001
12378.0,1,4008.62,0,4008.62,inf,0.0,0.0
12379.0,2,852.24,88,426.12,0.6818181818181819,2.933333333333333,852.24
12380.0,4,2724.81,164,681.2025,0.7317073170731707,5.466666666666667,2724.81
12381.0,5,1845.31,115,369.062,1.3043478260869565,3.8333333333333335,1845.3100000000002
12383.0,5,1850.56,167,370.11199999999997,0.8982035928143713,5.566666666666666,1850.5600000000002
12384.0,2,585.27,92,292.635,0.6521739130434783,3.066666666666667,585.2700000000001
12386.0,2,401.9,29,200.95,2.0689655172413794,0.9666666666666667,401.9
12388.0,6,2780.66,311,463.4433333333333,0.5787781350482315,10.366666666666667,2780.6600000000003
12390.0,1,549.84,0,549.84,inf,0.0,0.0
12391.0,1,439.66,0,439.66,inf,0.0,0.0
12393.0,4,1582.6000000000001,260,395.65000000000003,0.46153846153846156,8.666666666666666,1582.6000000000001
12394.0,2,1272.48,153,636.24,0.3921568627450981,5.1,1272.48
12395.0,12,3018.63,351,251.5525,1.0256410256410258,11.7,3018.63
12397.0,2,2409.9,99,1204.95,0.6060606060606061,3.3,2409.9
12398.0,1,1635.6599999999999,0,1635.6599999999999,inf,0.0,0.0
