CustomerID,Cluster,Recency,Frequency,MonetaryValue,AvgOrderValue,TotalQuantity,CustomerLifespan,ClusterName
12347.0,1,1,7,4310.0,23.681318681318682,2458,365,⭐ Loyal Customers
12348.0,1,74,4,1797.24,57.97548387096774,2341,282,⭐ Loyal Customers
12349.0,0,18,1,1757.55,24.076027397260273,631,0,🌱 Potential Growers
12350.0,3,309,1,334.4,19.670588235294115,197,0,⚠️ At-Risk/Lost
12352.0,1,35,11,1545.41,16.267473684210525,470,260,⭐ Loyal Customers
12353.0,3,203,1,89.0,22.25,20,0,⚠️ At-Risk/Lost
12354.0,3,231,1,1079.4,18.610344827586207,530,0,⚠️ At-Risk/Lost
12355.0,3,213,1,459.4,35.33846153846154,240,0,⚠️ At-Risk/Lost
12356.0,1,22,3,2811.43,47.65135593220339,1591,302,⭐ Loyal Customers
12357.0,0,32,1,6207.67,47.38679389312977,2708,0,🌱 Potential Growers
12358.0,0,1,2,1168.06,61.47684210526315,248,149,🌱 Potential Growers
12359.0,1,7,6,6182.9800000000005,24.63338645418327,1599,323,⭐ Loyal Customers
12360.0,0,51,3,2662.06,20.63612403100775,1165,148,🌱 Potential Growers
12361.0,3,286,1,189.9,18.990000000000002,91,0,⚠️ At-Risk/Lost
12362.0,1,2,13,5154.58,18.812335766423356,2212,292,⭐ Loyal Customers
12363.0,0,109,2,552.0,24.0,408,132,🌱 Potential Growers
12364.0,0,7,4,1313.1,15.448235294117646,1506,104,🌱 Potential Growers
12365.0,3,290,3,320.69,13.94304347826087,173,0,⚠️ At-Risk/Lost
12367.0,0,3,1,168.9,15.354545454545455,173,0,🌱 Potential Growers
12370.0,1,50,4,3541.94,21.33698795180723,2352,309,⭐ Loyal Customers
12371.0,0,44,2,1887.96,29.96761904761905,591,14,🌱 Potential Growers
12372.0,1,71,3,1298.04,24.962307692307693,794,224,⭐ Loyal Customers
12373.0,3,310,1,364.6,26.042857142857144,197,0,⚠️ At-Risk/Lost
12374.0,0,24,1,742.9300000000001,22.513030303030305,342,0,🌱 Potential Growers
12375.0,0,2,3,455.42,25.301111111111112,177,95,🌱 Potential Growers
12377.0,3,314,2,1628.1200000000001,21.144415584415587,944,39,⚠️ At-Risk/Lost
12378.0,0,129,1,4008.62,18.30420091324201,2529,0,🌱 Potential Growers
12379.0,0,81,3,850.29,20.738780487804878,406,88,🌱 Potential Growers
12380.0,0,21,5,2720.56,25.910095238095238,1126,164,🌱 Potential Growers
12381.0,0,4,6,1803.96,19.823736263736265,783,115,🌱 Potential Growers
12383.0,3,184,6,1839.31,18.3931,1529,167,⚠️ At-Risk/Lost
12384.0,0,28,3,566.16,18.872,121,92,🌱 Potential Growers
12386.0,3,337,2,401.9,40.19,354,29,⚠️ At-Risk/Lost
12388.0,1,15,6,2780.66,27.8066,1462,311,⭐ Loyal Customers
12390.0,0,79,1,549.84,17.1825,353,0,🌱 Potential Growers
12391.0,0,21,1,439.66,4.72752688172043,293,0,🌱 Potential Growers
12393.0,1,71,4,1582.6000000000001,24.728125000000002,816,260,⭐ Loyal Customers
12394.0,0,63,2,1272.48,47.12888888888889,819,153,🌱 Potential Growers
12395.0,1,15,15,2998.28,18.857106918238994,2113,355,⭐ Loyal Customers
12397.0,0,35,2,2409.9,19.126190476190477,1263,99,🌱 Potential Growers
12398.0,0,45,1,1635.6599999999999,19.24305882352941,1394,0,🌱 Potential Growers
12399.0,0,118,4,1108.65,18.790677966101697,1178,142,🌱 Potential Growers
12401.0,3,302,1,84.3,16.86,11,0,⚠️ At-Risk/Lost
12402.0,3,322,1,225.60000000000002,20.50909090909091,94,0,⚠️ At-Risk/Lost
12403.0,0,49,2,409.7,68.28333333333333,95,0,🌱 Potential Growers
12405.0,0,148,1,1710.39,31.67388888888889,857,0,🌱 Potential Growers
12406.0,0,21,3,3280.75,30.377314814814813,1809,161,🌱 Potential Growers
12407.0,1,49,5,1708.12,22.18337662337662,1416,214,⭐ Loyal Customers
12408.0,1,32,9,2842.57,25.155486725663717,1399,227,⭐ Loyal Customers
12409.0,0,78,7,11056.93,96.99061403508772,5543,103,🌱 Potential Growers
12410.0,3,300,3,681.0799999999999,24.32428571428571,209,7,⚠️ At-Risk/Lost
12412.0,0,74,3,1226.88,20.112786885245903,829,94,🌱 Potential Growers
12413.0,1,66,5,694.15,17.353749999999998,282,270,⭐ Loyal Customers
12414.0,3,216,3,562.41,31.244999999999997,300,93,⚠️ At-Risk/Lost
12415.0,2,23,26,123725.45,159.44001288659794,76946,313,💎 VIP Champions
12417.0,1,2,12,3578.8,18.074747474747475,1539,354,⭐ Loyal Customers
12418.0,0,112,1,668.58,19.664117647058823,407,0,🌱 Potential Growers
12420.0,0,63,1,600.39,20.70310344827586,345,0,🌱 Potential Growers
12421.0,1,15,5,806.27,17.527608695652173,483,303,⭐ Loyal Customers
12422.0,1,95,3,803.5600000000001,20.604102564102565,370,229,⭐ Loyal Customers
12423.0,1,0,9,1849.1100000000001,14.675476190476191,1327,352,⭐ Loyal Customers
